c,p,pid,nilai,diff
6,2,26,45950,0
6,2,7,47950,0
6,2,14,48450,6.25
6,2,31,48900,0
6,2,15,48950,0
6,2,28,49500,0
6,2,22,49650,0
6,2,3,49800,0
6,2,34,50850,0
6,2,9,50950,0
6,2,21,51900,0
6,2,12,52100,11.44
6,2,17,52750,0
6,2,8,53400,0
6,2,25,54000,0
6,2,13,56950,0
6,2,33,57350,0
6,2,27,57950,0
6,2,11,62700,0
6,2,32,62950,0
6,2,4,66700,0
6,2,19,69900,0
6,2,23,77450,0
7,1,26,36200,0
7,1,14,45500,5.2
7,1,3,46900,0
7,1,18,47300,0
7,1,16,49150,0
7,1,17,50650,0
7,1,34,50650,0
7,1,10,51450,0
7,1,19,52900,0
7,1,15,53150,1.24
7,1,7,54650,0
7,1,33,77900,-0.13
7,2,30,38500,0
7,2,26,39400,0
7,2,1,44000,0
7,2,24,48400,0
7,2,29,57000,0
7,2,2,58750,-6.82
7,2,28,60950,0
7,2,27,64400,0
7,2,25,64950,0
7,2,31,69050,0
7,2,4,70100,0
7,2,3,70550,0
7,2,5,70700,12.67
7,2,18,72050,0
7,2,16,73650,0.14
7,2,7,75200,0
7,2,10,75400,0
7,2,17,76200,0
7,2,14,76500,8.82
7,2,9,77450,0
7,2,13,79450,0
7,2,8,79650,0
7,2,33,86250,0
7,2,6,87050,0
7,2,15,88450,0
7,2,22,91350,0
7,2,12,96800,12.36
7,2,21,100400,0
7,2,34,102650,0
7,2,19,104900,0
7,2,11,111300,0
7,2,32,119050,0
7,2,23,146300,0
8,1,3,39500,0
8,1,26,45350,0
8,1,34,52500,2.44
8,1,14,57400,9.75
8,1,16,58100,0
8,1,33,60200,1.95
8,1,17,62150,0
8,1,18,65650,0
8,1,10,68900,0
8,1,15,69250,0
8,1,7,69500,0
8,1,19,72100,0
8,2,30,39100,0
8,2,2,39400,12.25
8,2,27,59700,0
8,2,34,66650,0
8,2,25,67450,0
8,2,1,67600,0
8,2,3,68250,0
8,2,6,68850,0
8,2,33,71650,3.24
8,2,29,72150,0
8,2,26,72400,0
8,2,5,77800,0
8,2,10,78600,0
8,2,7,78700,0
8,2,8,81150,0
8,2,16,83250,3.1
8,2,24,86900,0
8,2,15,90450,0
8,2,14,90600,2.95
8,2,4,91600,0
8,2,17,95350,0
8,2,13,98800,0
8,2,9,99450,0
8,2,31,108700,0
8,2,12,109350,-9.81
8,2,21,113650,0
8,2,18,115250,0
8,2,28,118450,0
8,2,11,125350,0
8,2,22,127450,0
8,2,32,150850,0
8,2,19,159900,0
8,2,23,170850,0
9,1,26,20950,0
9,1,14,21400,0.47
9,1,10,22150,0
9,1,16,22250,0
9,1,7,22500,0
9,1,15,22600,0
9,1,19,22950,0
9,1,17,23000,0
9,1,3,23150,0
9,1,18,23700,0
9,1,34,24600,0
9,1,33,25500,0
9,2,8,20350,0
9,2,19,20350,0
9,2,5,21550,0
9,2,22,22150,0
9,2,29,22300,0
9,2,26,22450,0
9,2,6,22500,0
9,2,16,22550,0
9,2,12,22650,-1.74
9,2,14,22650,2.03
9,2,2,22750,0.22
9,2,28,22800,0
9,2,1,22900,0
9,2,11,23000,0
9,2,24,23050,0
9,2,10,23100,0
9,2,15,23100,0
9,2,13,23150,0
9,2,25,23250,0
9,2,18,23300,0
9,2,34,23350,0
9,2,31,23700,0
9,2,7,23800,0
9,2,27,23900,0
9,2,3,23950,0
9,2,4,24050,0
9,2,30,24150,0
9,2,17,24300,0
9,2,32,24600,0
9,2,23,25600,5.57
9,2,9,25850,0
9,2,33,25900,0
10,1,26,17550,0
10,1,16,17800,0
10,1,15,18350,0
10,1,14,18550,-0.8
10,1,10,18900,0
10,1,3,19100,0
10,1,18,19200,0
10,1,17,19250,0
10,1,7,19400,0
10,1,19,19750,0
10,1,34,21500,0
10,1,33,24300,0
10,2,11,17350,0
10,2,5,17400,0
10,2,7,17450,0
10,2,12,17500,0.57
10,2,13,17500,0
10,2,15,17500,0
10,2,21,17500,0
10,2,26,17500,0
10,2,16,17650,-0.28
10,2,23,17700,-5.85
10,2,8,17750,0
10,2,19,17750,0
10,2,10,17850,0
10,2,14,17850,2.88
10,2,9,18100,0
10,2,18,18400,0
10,2,4,18450,0
10,2,17,18450,0
10,2,30,18500,0
10,2,6,18800,0
10,2,3,18900,0
10,2,24,18950,-1.56
10,2,27,19000,0
10,2,29,19250,0
10,2,32,19250,0
10,2,31,19400,0
10,2,1,19900,0
10,2,22,19900,0
10,2,25,20400,0
10,2,28,20550,0
10,2,34,21900,0
10,2,33,24450,0
10,2,2,47350,-13.2
